step,waiting_vehicles,avg_speed,queue_length,throughput,phase_index,phase_name
0,1,12.50,1,0,0,East-West Straight+Right
1,0,12.54,0,0,0,East-West Straight+Right
2,1,11.19,1,0,0,East-West Straight+Right
3,0,11.25,0,0,0,East-West Straight+Right
4,0,11.35,0,0,0,East-West Straight+Right
5,0,11.42,0,0,0,East-West Straight+Right
6,1,10.12,1,0,0,East-West Straight+Right
7,0,10.23,0,0,0,East-West Straight+Right
8,0,10.36,0,0,0,East-West Straight+Right
9,0,10.47,0,0,0,East-West Straight+Right
10,0,10.58,0,0,0,East-West Straight+Right
11,0,10.68,0,0,0,East-West Straight+Right
12,1,10.70,1,0,0,East-West Straight+Right
13,1,9.41,1,0,0,East-West Straight+Right
14,1,9.36,1,0,0,East-West Straight+Right
15,0,9.56,0,0,0,East-West Straight+Right
16,0,9.78,0,0,0,East-West Straight+Right
17,0,10.02,0,0,0,East-West Straight+Right
18,1,10.09,1,0,0,East-West Straight+Right
19,0,9.13,0,0,0,East-West Straight+Right
20,1,8.97,1,0,0,East-West Straight+Right
21,0,7.67,0,0,0,East-West Straight+Right
22,1,7.76,1,0,0,East-West Straight+Right
23,2,7.60,2,0,0,East-West Straight+Right
24,2,7.85,2,0,0,East-West Straight+Right
25,3,6.73,3,0,0,East-West Straight+Right
26,2,7.04,2,0,0,East-West Straight+Right
27,3,5.81,3,0,0,East-West Straight+Right
28,2,6.78,2,0,0,East-West Straight+Right
29,2,6.41,2,0,0,East-West Straight+Right
30,4,6.13,4,0,1,East-West Yellow
31,5,5.99,5,0,1,East-West Yellow
32,6,6.03,6,0,1,East-West Yellow
33,5,6.05,5,0,1,East-West Yellow
34,6,6.17,6,0,1,East-West Yellow
35,5,6.17,5,0,2,East-West Left
36,6,5.00,6,0,2,East-West Left
37,6,4.49,6,0,2,East-West Left
38,6,4.47,6,1,2,East-West Left
39,6,4.73,6,0,2,East-West Left
40,7,4.93,7,0,2,East-West Left
41,7,5.07,7,0,2,East-West Left
42,6,5.35,6,0,2,East-West Left
43,7,5.04,7,0,2,East-West Left
44,7,5.94,7,0,2,East-West Left
45,7,4.61,7,0,2,East-West Left
46,7,4.27,7,0,2,East-West Left
47,7,3.86,7,0,2,East-West Left
48,9,3.87,9,0,2,East-West Left
49,9,3.89,9,0,2,East-West Left
50,10,3.90,10,0,2,East-West Left
51,9,3.90,9,0,2,East-West Left
52,10,3.93,10,0,2,East-West Left
53,11,3.99,11,0,2,East-West Left
54,10,4.17,10,0,2,East-West Left
55,11,4.34,11,0,2,East-West Left
56,12,4.48,12,0,2,East-West Left
57,11,5.09,11,0,2,East-West Left
58,11,5.15,11,1,2,East-West Left
59,11,5.09,11,0,2,East-West Left
60,12,3.80,12,1,2,East-West Left
61,12,3.75,12,0,2,East-West Left
62,12,3.72,12,0,2,East-West Left
63,13,3.69,13,0,2,East-West Left
64,13,3.72,13,0,2,East-West Left
65,14,2.26,14,1,3,East-West Left Yellow
66,14,2.30,14,0,3,East-West Left Yellow
67,15,2.50,15,0,3,East-West Left Yellow
68,15,2.66,15,0,3,East-West Left Yellow
69,16,2.49,16,0,3,East-West Left Yellow
70,14,2.66,14,0,4,North-South Straight+Right
71,11,2.75,11,0,4,North-South Straight+Right
72,11,2.84,11,0,4,North-South Straight+Right
73,13,2.96,13,0,4,North-South Straight+Right
74,10,3.23,10,0,4,North-South Straight+Right
75,11,4.41,11,0,4,North-South Straight+Right
76,12,4.64,12,0,4,North-South Straight+Right
77,11,3.57,11,0,4,North-South Straight+Right
78,12,3.62,12,0,4,North-South Straight+Right
79,12,4.26,12,0,4,North-South Straight+Right
80,12,4.20,12,0,4,North-South Straight+Right
81,13,4.22,13,0,4,North-South Straight+Right
82,15,3.41,15,0,4,North-South Straight+Right
83,14,3.41,14,0,4,North-South Straight+Right
84,15,1.99,15,0,4,North-South Straight+Right
85,14,2.21,14,1,4,North-South Straight+Right
86,14,1.94,14,1,4,North-South Straight+Right
87,16,2.54,16,0,4,North-South Straight+Right
88,17,2.69,17,0,4,North-South Straight+Right
89,18,2.76,18,0,4,North-South Straight+Right
90,19,2.62,19,0,4,North-South Straight+Right
91,18,2.60,18,0,4,North-South Straight+Right
92,18,2.59,18,1,4,North-South Straight+Right
93,19,2.55,19,0,4,North-South Straight+Right
94,19,2.51,19,1,4,North-South Straight+Right
95,20,2.08,20,0,4,North-South Straight+Right
96,20,2.10,20,1,4,North-South Straight+Right
97,21,2.21,21,0,4,North-South Straight+Right
98,22,1.81,22,1,4,North-South Straight+Right
99,22,0.50,22,0,4,North-South Straight+Right
100,21,0.53,21,1,5,North-South Yellow
101,22,0.63,22,0,5,North-South Yellow
102,22,0.76,22,0,5,North-South Yellow
103,22,0.84,22,0,5,North-South Yellow
104,23,0.88,23,0,5,North-South Yellow
105,20,0.98,20,0,6,North-South Left
106,19,2.25,19,0,6,North-South Left
107,20,2.32,20,1,6,North-South Left
108,20,2.46,20,0,6,North-South Left
109,19,2.63,19,0,6,North-South Left
110,19,2.75,19,0,6,North-South Left
111,19,2.90,19,0,6,North-South Left
112,20,3.06,20,0,6,North-South Left
113,20,2.80,20,0,6,North-South Left
114,19,2.69,19,0,6,North-South Left
115,19,2.71,19,0,6,North-South Left
116,21,2.97,21,0,6,North-South Left
117,22,3.56,22,0,6,North-South Left
118,21,3.54,21,0,6,North-South Left
119,21,3.42,21,0,6,North-South Left
120,21,2.14,21,0,6,North-South Left
121,23,2.28,23,0,6,North-South Left
122,24,2.42,24,2,6,North-South Left
123,23,2.59,23,0,6,North-South Left
124,23,2.74,23,1,6,North-South Left
125,25,2.95,25,0,6,North-South Left
126,25,2.89,25,1,6,North-South Left
127,24,2.98,24,0,6,North-South Left
128,24,3.10,24,0,6,North-South Left
129,26,3.35,26,1,6,North-South Left
130,26,3.45,26,0,6,North-South Left
131,26,3.59,26,0,6,North-South Left
132,26,3.73,26,0,6,North-South Left
133,27,3.78,27,0,6,North-South Left
134,26,3.65,26,0,6,North-South Left
135,29,3.34,29,0,7,North-South Left Yellow
136,28,3.27,28,0,7,North-South Left Yellow
137,29,3.20,29,0,7,North-South Left Yellow
138,29,3.11,29,0,7,North-South Left Yellow
139,30,1.87,30,1,7,North-South Left Yellow
140,27,1.99,27,0,0,East-West Straight+Right
141,23,2.12,23,0,0,East-West Straight+Right
142,21,2.40,21,0,0,East-West Straight+Right
143,19,2.72,19,0,0,East-West Straight+Right
144,20,2.58,20,0,0,East-West Straight+Right
145,17,3.87,17,0,0,East-West Straight+Right
146,16,4.23,16,0,0,East-West Straight+Right
147,17,5.41,17,0,0,East-West Straight+Right
148,16,5.59,16,0,0,East-West Straight+Right
149,17,5.51,17,0,0,East-West Straight+Right
150,17,5.48,17,0,0,East-West Straight+Right
151,17,5.54,17,0,0,East-West Straight+Right
152,17,5.71,17,0,0,East-West Straight+Right
153,17,5.89,17,0,0,East-West Straight+Right
154,17,5.85,17,0,0,East-West Straight+Right
155,19,5.64,19,1,0,East-West Straight+Right
156,17,6.33,17,1,0,East-West Straight+Right
157,19,6.35,19,1,0,East-West Straight+Right
158,20,6.41,20,3,0,East-West Straight+Right
159,22,5.13,22,1,0,East-West Straight+Right
160,20,5.94,20,1,0,East-West Straight+Right
161,20,7.33,20,0,0,East-West Straight+Right
